Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Album_Type,Collection Style,Collection Genre,Collection Recorded,Collection Original Released,Collection Artist_City,Collection Artist_Country,Collection Artist_Region_State,Collection Purchased,Collection Year_Purchased,Collection Shop,Collection Shop_City,Collection Shop_Region_State,Collection Shop_Country,Collection Years active,Collection Group,Collection Group_Members,Collection Instrument(s),Collection Instrument(s)_2,Collection Instrument(s)_3,Collection Instrument(s)_4,Collection Media Condition,Collection Sleeve Condition,Collection Cover Art,Collection Notes,Collection Record Cleaning Date,Collection Record Cleaning Kit
2252004,Nina Simone,In Concert,'In' Crowd Records,"LP, Comp",4,2021,17999140,Original Collection,2023-05-09 01:49:26,Live,Vocal Jazz,Jazz,"New York, NY, USA",2021,Tryon,USA,North Carolina,In-Store,2021,Disco 100,Barcelona,Catalonia,Spain,1954–2002,No,None,"Vocals, Piano - Nina Simone","Guitar, Flute - Rudy Stevenson
Bass - Lisle Atkinson
Drums - Bobby Hamilton","Written by Jesseie Mae Robinson, Earl Burroughs, George & Ira Gershwin-DuBose Heyward, Simone-Alper-VanderGroef, Well-Brecht-Blitzstein, Krasnow-Lovelock, Tiomikin-Washington, Rodgers-Hart, Wilards Robinson, Simone-Cuney, Comfort-Simone","Written by Nina Simone, George Bass",Very Good Plus (VG+),Very Good Plus (VG+),Unknown,Back Cover note from Bernard Lee,,
350203,Billie Holiday,Lady In Satin,20th Century Masterworks,"LP, Ltd, RE, Pur",4,2020,15999105,Original Collection,2023-04-24 04:00:30,Collection,Jazz,Jazz,Unknown,1958,Philadelphia,USA,Pennsylvania,Online,2021,Amazon,None,None,Spain,1930–1959,No,None,"Vocal - Billie Holiday
violin and concertmaster - George Ockner
Violin - Emmanual Green,Harry Hoffman, Harry Katzmann, Leo Kruczek, Milton Lomask, Harry Meinikoff, David Newman, Samuel Rand, David Sarcer.
Viola - Sid Brecher, Richard Dichler ","cello - David Soyer, Maurice Brown
Harp - Janet Putman
Flute - Danny Bank, Phil Bodner, Romeo Penque, Tom Parshley.
Trumpet - Mel Davis, Billy Butterfield, Jimmy Ochner, Bernie Glow","Trombone - J.J. Johnson, Urbie Green
bass trombone - Tommy Mitchell
piano - Mal Waldron
guitar - Barry Galbraith
double bass - Milt Hinton
drums - Osie Johnson ",None,Near Mint (NM or M-),Near Mint (NM or M-),Photo by Michael Ochs Archives / Getty Images,"Originally released as Lady in Satin (Columbia) 1958

Series:	Colored Series",,
T-508,The Alan Parsons Project,Historias De Misterio E Imaginacion = Tales Of Mystery And Imagination,20th Century Records,"LP, Album, RE, Gat",4,1979,2470340,2023 Second Hand,2023-05-02 12:26:24,Conceptual,"Prog Rock, Art Rock, Symphonic Rock","Electronic, Rock","Abbey Road, London, UK
Mama Jo's, Hollywood, California, USA
Kingsway Hall, London, England, UK",1976,London,UK,England,In-Store,2023,Vinil Vintage,Barcelona,Catalonia,Spain,1975 - 1990,Yes,"Alan Parsons
Eric Woolfson
Andrew Powell","Guitars, Keyboards, EMI Vocoder, Projectron Synthesizer, Recorder, Additional Vocals, Producer, Engineer - Alan Parsons
Keyboards, Backing Vocals, Harpsichord, Organ, Additional Vocals, Executive Producer - Eric Woolfson","Orchestral arrangement, Orchestral Conductor, Keyboards, Organ - Andrew Powell","Bass - David Paton, Joe Puerta
Contrabass - Darryl Runswick
Drums - Stuart Tosh, Burleigh Drummond
Guitars - Ian Bairnson, David Paton, David Pack
Keyboards - Billy Lyall, Cristopher North, Francis Monkman","Cimbalo and Cantele - John Leach
Vocals - John Miles, Leonard Whiting, Jack Harris, Jane Powell, Smokey Parsons, David Paton, Stuart Tosh, ""The English Chorale""",Very Good (VG),Very Good Plus (VG+),"Cover By Hipgnosis and Hardie
illustration by Colin Elgie
Photography by Storm Thogerson, Aubrey Powell, Peter Christopherson, Sam Emerson
",The internal Gatefold is in Spanish and there is the Chronology of Edgar Allan Poe history. The tracks with the minutes. The credits. Brief biography of the group members.,,
88.122-l,Supertramp,Crime Of The Century,A&M Records,"LP, Album",3,1974,1460333,2023 Second Hand,2023-04-24 01:34:17,Studio Album,Rock,"Art Rock, Prog Rock, Pop Rock","Trident Studio
Ramport Studio
Scorpio Studio
London, England, UK",1974,London,UK,England,In-Store,2023,Discs Oldies,Valencia,Valencian Community,Spain,"1970–1988
1996–2002
2010–2012
2015",Yes,"Rick Davies
Roger Hodgson
John Anthony Helliwell
Dougie Thomson
Bob Siebenberg","Rick Davies – vocals, keyboards, harmonica
Roger Hodgson – vocals, guitar, pianos
John Anthony Helliwell – saxophones, clarinet, backing vocals
Dougie Thomson – bass guitar
Bob Siebenberg (credited as Bob C. Benberg) – drums, percussion","Christine Helliwell – backing vocals (3)
Scott Gorham – backing vocals (3)
Vicky Siebenberg – backing vocals (3)
Anonymous street musician – saw (3)
Ken Scott – water gong (8)",None,None,Fair (F),Poor (P),"Art Direction – Fabio Nicoli
Design [Sleeve], Photography – Paul Wakefield","Recorded at Trident, Ramport Studios and Scorpio Sound,
London between February and June, 1974.",,
AMLK 63730,The Police,Ghost In The Machine,A&M Records,"LP, Album",4,1981,1734217,2021 Second Hand,2023-05-03 08:18:31,Studio Album,"New Wave, Pop Rock","Rock, Pop","AIR, Montserrat, West Indies, UK
Le Studio, Morin-Heights, Quebec, Canada",1981,London,UK,England,In-Store,2021,Daily Records,Barcelona,Catalonia,Spain,"1977–1986
2003
2007–2008",Yes,"Sting
Andy Summers
Stewart Copeland","Bass, Vocals - Sting
Guitar - Andy Summers
Drums - Stewart Copeland","Keyboards – Jean Roussel
bass (5), additional bass (uncredited) - Danny Quatrochi
","Producer – Hugh Padgham, The Police
Engineering - Hugh Padgham
Engineering (2) (uncredited) - Nick Blagona
","Producer – Hugh Padgham, The Police
All tracks are written by Sting, except (7) Sting - Stewart Copeland, (9) Andy Summer, (11) Copeland.
",,,"Art Direction – Jeffrey Kent Ayeroff
Art Direction, Design [Album Design] – Mick Haggerty","Much of the material on the album was inspired by Arthur Koestler's The Ghost in the Machine, which also provided the title. It was the first Police album to bear an English-language title.  The album's cover is ranked at number 45 on VH1's ""50 Greatest""",,
17.1319/3,Joe Sample,Rainbow Seeker,"ABC Records, Mediterraneo (3)","LP, Album",3,1978,3615858,2023 Second Hand,2023-05-10 23:53:47,Studio Album,Fusion,Jazz,"ABC Recording Studios, Losa Angeles, California, USA
Warner Bros. Studios, Hollywood, California, USA
Hollywood Sound Recorders, Hollywood, California, USA.",1978,Houston,USA,Texas,In-Store,2023,Barcelona City Records,Barcelona,Catalonia,Spain,1950s–2014,No,"Keyboards – Joe Sample
Bass – Robert ""Pops"" Popwell
Drums, Percussions – ""Stix"" Hooper
Guitar - Billy Rogers","Special Guest, Guitar - Dean Parks, Ray Parker, Barry Finnerty, L.Marlo Henderson, David T. Walker
Special Guest, Percussions - Paulinho Da Costa
Special Guest, Trombone - Garnett Brown
Special Guest, Saxes - Ernest J.Watts Jr, Fred Jackson Jr","Special Guest, Flute - William Green
Spacial Guest, Trumpet - Robert O. Bryant, Jay Daversa, Steven Mandaio
Spacial Guest, Strings - Sid Sharp
","Engineer – Rik Pekkonen, Leslie Jones
Mastered By – Bernie Grundman
Mixed By – Rik Pekkonen
Producer – The Crusaders",Written By Joe Sample,Near Mint (NM or M-),Very Good Plus (VG+),"Art Director - Frank Mulvey
Design - Philip Chiang
Photography - Norman Seeff",There is a nice introduction on the left upper corner of the vinyl written byJoe Sample with the titles of the songs in the album.,,
"3 C 062 04348, 3C 062-04348",The Beatles,Hey Jude,"Apple Records, Apple Records","LP, Comp",4,1970,9161038,Father Collection,2023-04-27 05:52:14,Collection,"Rock & Roll, Pop Rock",Rock,"EMI, Apple and Trident
London, England, UK
Pathé Marconi
Paris, Île-de-France, France",1970,Liverpool,UK,"North West England, England",In-Store,1970,Unknown,Unknown,Lombardia,Italy,1960–1970,Yes,"John Lennon 
Paul McCartney
George Harrison
Ringo Starr","Lead Vocals, Backing Vocals, Rhythm Guitar, Lead Guitar, Harmonica, Percussion - John Lennon
Lead Vocals, Backing Vocals, Bass Guitar, Lead Guitar, Piano, Hammond Organ, Drums, Percussion - Paul McCartney","Lead Vocals, Backing Vocals, Lead Guitar, Rhythm Guitar, Bass Guitar, Hammond Organ, Percussion - George Harrison
Backing Vocals, Drums, Percussion - Ringo Starr","Electric Piano - Nicky Hopkins, Billy Preston 
Tenor Saxophone - Ronnie Scott, Bill Povey
Baritone Saxophone - Harry Klein, Bill Jackman","Written-By – Harrison* (tracks: B2), Lennon-McCartney (tracks: A1 to B1, B3, B4)",Very Good (VG),Very Good (VG),Photography by Ethan Russel,"The front and back cover pictures were taken at the last-ever Beatles photo session, on 22 August 1969, at John Lennon's home Tittenhurst Park by Ethan Russel.",,
"200.852-I, 200852-I","Emerson, Lake & Palmer",In Concert,"Ariola, Ariola","LP, Album",4,1980,1690045,2023 Second Hand,2023-04-20 01:26:02,Live,Symphonic Rock,Rock,"26 August 1977,
Olympic Stadium, 
Montreal, Quebec, Canada",1979,London,UK,England,In-Store,2023,Mercado Dominical de Sant Antoni,Barcelona,Catalonia,Spain,1970-2010,Yes,"Keith Emerson, Greg Lake, Carl Palmer","Keith Emerson: keyboards. Greg Lake: vocals, bass, guitar, producer. Carl Palmer:drums, percussion.",None,None,None,Fair (F),Fair (F),"Art Direction [Art Director] – Bob Defrin
Photography [Cover] – François Rivard
Photography [Inner Sleeve/Absent in my vynil] – Neil Preston","A2: Written-By – Henry Mancini
A5: Excerpt from ""The Scythian Suite"" 2nd Movement by Prokofieff.
A6: Excerpt from ""Sinfonietta"" by Janacek.",,
"26396-I, 26.396-I",Angelo Branduardi,Highdown Fair,"Ariola, Ariola","LP, Album, Gat",4,1978,5307711,2022 Second Hand,2023-04-25 02:08:12,Studio Album,"Soft Rock, Ballad","Rock, Pop","Fonit-Cetra Studios
Milan, Lombardia, Italy",1978,"Cuggiono, Milan",Italy,Lombardia,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,1974 - Presents,No,None,"Violin, Guitar, Guitar [Piccolo Guitar], Lute, Recorder [Flute] – Angelo Branduardi
","Bass – Gigi Capellotto*
Bouzouki, Cuica, Sitar, Harmonica – Bruno De Filippi
Clarinet, Piano – Gianni Nocenzi
Drums – Andy Surdi
Guitar, Lute – Maurizio Fabrizio
Harp – Tiziana Botticini
Percussion – Mario Lamberti",Written-By – Angelo Branduardi,None,Very Good (VG),Very Good Plus (VG+),Photography By – Cesare Monti,"Producer [English Version], Words By – Peter Sinfield
English version, based upon the original lyrics, written and produced by Peter Sinfield.
""Highdown Fair"" was freely inspired by a Jewish Passover song, thanks to David.
Editado y distribuido por Ariol",,
I·206 100,The Alan Parsons Project,Ammonia Avenue,Arista,"LP, Album",4,1984,1964540,2023 Second Hand,2023-05-03 09:55:29,Conceptual,"Pop Rock, Prog Rock",Rock,"Abbey Road Studios, London, England, UK",1984,London,UK,England,In-Store,2023,Vinil Vintage,Barcelona,Catalonia,Spain,1975–1990,Yes,"Alan Parsons
Eric Woolfson","Fairlight Programming - Alan Parsons
Keyboards, Vocals - Eric Woolfson","Acoustic Guitar, Electric Guitar – Ian Bairnson
Arranged By [Orchestra], Conductor [Orchestra] – Andrew Powell
Bass – David Paton
Drums, Percussion – Stuart Elliott
Leader [The Philharmonia Orchestra] – Christopher Warren-Green","Orchestra – The Philharmonia Orchestra
Saxophone – Mel Collins
Vocals – Chris Rainbow, Colin Blunstone, Eric Woolfson, Lenny Zakatek","Engineer [Assistant] – Tony Richards
Executive-Producer – Eric Woolfson
Mastered By [Mastering Consultant] – Chris Blair
Producer – Alan Parsons
Producer, Engineer – Alan Parsons
Written-By – Alan Parsons, Eric Woolfson",Very Good Plus (VG+),Very Good (VG),"Design [Sleeve] – STd (3)
Photography – Fell/Hurworth
Photography By – STd (3)","Inner sleeve with lyrics and credits.
The title of the album was inspired by Eric Woolfson's visit to Imperial Chemical Industries (ICI), England, where the first thing he saw was a street with miles of pipes, a sign that read 'Ammonia Avenue""",,
