Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
88.122-l,Supertramp,Crime Of The Century,A&M Records,"LP, Album",,1974,1460333,,2023-04-20 03:04:12
"87905 XD, 87905-XD",Canarios,Ciclos,"Ariola, Ariola","2xLP, Album",,1974,745518,,2023-04-20 03:57:25
10 C 066-99168,The Alan Parsons Project,I Robot,Arista,"LP, Album, Gat",,1977,1355929,,2023-04-20 03:11:23
I-203000,The Alan Parsons Project,The Turn Of A Friendly Card,Arista,"LP, Album",,1980,1579527,,2023-04-20 03:13:56
"I-204666, I-204 666",The Alan Parsons Project,Eye In The Sky,"Arista, Arista","LP, Album",,1982,7482623,,2023-04-20 03:12:40
HATS 421-88,Yes,Fragile,Atlantic,"LP, Album",,1972,8095148,"Lowest:	€5.99
Median:	€12.00
Highest:	€19.99",2023-04-20 02:41:32
HATS 421-95,Yes,Close To The Edge,Atlantic,"LP, Album, Gat",,1973,3587996,,2023-04-20 01:03:49
HATS 421-71,Yes,The Yes Album,"Atlantic, Hispavox","LP, Album",,1971,17810824,"Lowest:	€10.00
Median:	€35.00
Highest:	€60.00",2023-04-20 02:43:18
BS-32110,Iceberg (2),Sentiments,Bocaccio Records,"LP, Album, Gat",,1977,1239173,,2023-04-20 02:52:40
BS-32123,Iceberg (2),En Directe,Bocaccio Records,"LP, Album",,1978,1773785,,2023-04-20 02:50:54
S 82843,"Imán, Califato Independiente","Imán, Califato Independiente",CBS,"LP, Album, Gat",,1978,2048098,,2023-04-20 03:54:20
S 84277,"Imán, Califato Independiente",Camino Del Águila,CBS,"LP, Album, Gat",,1980,2123458,,2023-04-20 03:53:09
LPX 8,New Trolls,Concerto Grosso Per I New Trolls,Cetra,"LP, Album, Gat",,1971,1315033,,2023-04-20 02:54:41
63 69 944,Genesis,Selling England By The Pound,Charisma,"LP, Album",,1974,4546615,,2023-04-20 03:06:53
"66 41 226, 92 99 257, 92 99 258",Genesis,The Lamb Lies Down On Broadway,"Charisma, Charisma, Charisma","2xLP, Album, Gat",,1975,2949691,,2023-04-20 03:05:54
28.438-I,Jethro Tull,Songs From The Wood,Chrysalis,"LP, Album",,1977,1727012,,2023-04-20 03:44:00
63 07 502,Jethro Tull,Thick As A Brick,Chrysalis,"LP, Album",,1972,4549483,,2023-04-20 03:20:02
63 07 511,Procol Harum,Grand Hotel,Chrysalis,"LP, Album",,1973,7205972,,2023-04-20 03:02:00
85.383-I,Jethro Tull,Aqualung,Chrysalis,"LP, Album, Gat",,1975,4548994,,2023-04-20 03:41:02
89.791-IE,Jethro Tull,Benefit,"Chrysalis, Chrysalis","LP, Album",,1970,19248337,,2023-04-20 03:43:18
"89399 I, 89.399 - I",Jethro Tull,Minstrel In The Gallery,"Chrysalis, Chrysalis","LP, Album",,1975,8517761,,2023-04-20 03:42:15
066 24 0785 1,Marillion,Clutching At Straws,EMI,"LP, Album",,1987,6483596,,2023-04-20 03:02:53
