Artist,Title,Min_070623,Median_070623,Higher_070623
a-ha,East Of The Sun West Of The Moon,5.11,11.75,26.57
a-ha,Hunting High And Low,1.08,10.32,15.49
a-ha,Scoundrel Days,3.57,5.11,20.66
a-ha,Stay On These Roads,3.03,7.08,15.16
Cariocas,Batida,6.58,10.11,30.32
Claudio Baglioni,Solo,2.07,9.81,29.94
Dire Straits,Making Movies,4.85,5.66,5.72
The Doors,The Doors (Music From The Original Motion Picture),5.04,16.55,36.56
Duran Duran,Notorious,2.02,6.97,24.26
Edoardo Bennato,Non Farti Cadere Le Braccia,2.35,6.97,22.73
Ella Fitzgerald With Orchestra*,The First Lady Of Jazz,6.56,6.56,6.56
Franco Cerri,Nuages,19.18,26.33,52.76
Frank Zappa,Orchestral Favorites,5.05,12.13,15.16
Genesis,Live,2.39,6.3,15.33
Gianna Nannini,Maschi E Altri,2.58,9.81,38.74
Graciela Guevara,Graciela Guevara,21.8,21.8,21.8
John Barry,Dances With Wolves (Original Motion Picture Soundtrack),4.1,13.14,35.38
The London Symphony Orchestra And Chambre Choir*,Tommy / As Performed By The London Symphony Orchestra And Chambre Choir With Guest Soloists,1.0,5.04,37.6
Los Cachaos,Samba Rumba Y Cha Cha Cha,10.9,10.9,10.9
Luca Barbarossa,Al Di Là Del Muro,0.89,1.98,9.88
Luigi Tenco,Agli Amici Cantautori,3.92,6.84,11.75
Madonna,Like A Prayer,3.42,5.8,23.15
Madonna,Like A Virgin,4.08,9.14,20.43
Madonna,The First Album,4.04,10.11,30.31
Madonna,True Blue,4.44,6.97,15.16
Michael Jackson,Bad,9.09,15.62,40.43
The Police,Every Breath You Take (The Singles),3.99,10.0,20.0
Riccardo Cocciante,I Momenti Dell'Amore,1.0,2.0,4.0
Rick Astley,Hold Me In Your Arms,2.55,4.52,10.22
Rondo' Veneziano*,Arabesque,3.37,8.17,15.33
Santana,Caravanserai,4.03,10.11,20.97
Santana,Caravanserai,2.26,5.95,13.04
Santo & Johnny,Il Padrino Famosi Temi Da Films,2.83,3.11,3.4
Santo & Johnny,Tenderly = Teneramente,2.35,4.4,9.79
The Shadows,20 Golden Greats,0.99,4.43,19.78
Various,Festivalbar '87,3.1,7.84,26.4
Various,Natale Con I Tuoi...,1.0,3.99,8.0
Various,Pretty Woman (Soundtrack),2.53,8.09,18.7
Various,Sanremo 86,2.04,5.62,20.43
Various,Vision Quest (Original Motion Picture Sound Track),1.97,5.16,25.82
Vasco Rossi,Albachiara,7.23,16.01,41.32
Culture Club,From Luxury To Heartache,1.02,2.32,5.73
Culture Club,Waking Up With The House On Fire,1.87,3.62,10.33
Jimi Hendrix,Blues,17.86,24.43,36.39
Mel Lewis,Live In Montreux,6.63,6.69,13.38
Premiata Forneria Marconi,Come Ti Va In Riva Alla Città,5.16,15.49,30.99
Spandau Ballet,Journeys To Glory = Viajes A La Gloria,2.02,4.53,10.43
Spandau Ballet,Through The Barricades,1.52,4.36,9.0
