Artist,Title,Higher_120623,Min_070623,Median_070623
Bruce Springsteen,Tunnel Of Love,2.48,11.06,62.0
The Alan Parsons Project,Pyramid,1.02,3.35,14.11
"Emerson, Lake & Palmer",In Concert,1.89,4.95,10.73
Premiata Forneria Marconi,Photos Of Ghosts,4.74,7.35,47.44
Yes,Big Generator,2.45,7.34,12.68
Premiata Forneria Marconi,L'Isola Di Niente,8.16,31.0,82.67
Battiato*,L'Era Del Cinghiale Bianco,29.0,58.56,180.0
Queen,A Night At The Opera,6.64,15.51,26.62
Premiata Forneria Marconi,Live In U.S.A.,11.87,17.81,27.9
Mike Oldfield,Tubular Bells,3.0,7.94,15.0
Mike Oldfield,Five Miles Out,1.01,6.6,12.25
Electric Light Orchestra,Discovery,2.02,5.56,10.11
Supertramp,Crime Of The Century,4.95,7.83,20.22
Various,I Supergruppi Vol.1,1.9,7.11,11.75
Edoardo Bennato,Burattino Senza Fili,1.99,15.0,44.99
Pino Daniele,Terra Mia,20.44,45.48,71.53
Claudio Baglioni,La Vita È Adesso,2.06,5.17,20.15
Mina (3),Cassiopea (Italian Songbook),10.23,26.76,37.2
New Trolls,Concerto Grosso N° 2,9.79,18.6,58.74
Mel Lewis,Live In Montreux,6.56,6.62,13.23
Billie Holiday,Lady In Satin,12.84,18.59,24.52
The Shadows,20 Golden Greats = 20 Grandes Exitos,1.0,5.0,9.9
Mike Oldfield,Earth Moving,2.55,5.11,10.22
Yes,Going For The One,2.86,7.15,10.22
Jimi Hendrix,Blues,17.67,24.17,36.0
Mike Oldfield,Amarok,8.9,17.8,39.57
Pink Floyd,The Wall,11.52,20.51,83.65
Spandau Ballet,Through The Barricades,1.5,4.31,8.9
Spandau Ballet,True = Verdad,5.87,9.3,9.79
New Trolls,UT,13.26,50.54,126.36
Angelo Branduardi,Highdown Fair,3.0,10.0,12.0
Orchestra «Pro Arte» Di Monaco* / Kurt Redel,"Il Canone Di Pachelbel, Il Largo Di Handel, L'Aria Di Bach (E Altre Loro Celebri Composizioni)",5.54,6.37,7.2
Pink Floyd,The Dark Side Of The Moon,9.5,24.99,54.0
Pink Floyd,Animals,6.93,20.78,44.52
Pink Floyd,"Soundtrack From The Film ""More""",7.75,19.38,77.5
Pink Floyd,Masters Of Rock,4.99,10.97,20.0
New Trolls,Senza Orario Senza Bandiera,5.0,10.0,19.99
Premiata Forneria Marconi,Per Un Amico,15.0,44.5,150.0
Queen,Queen,21.14,21.9,22.65
Yes,Relayer,5.05,9.05,15.16
Mike Oldfield,Platinum,3.59,7.93,12.93
Queen,The Game,9.89,17.8,45.2
Queen,News Of The World,3.54,20.34,28.3
Queen,The Miracle,10.06,19.41,35.38
New Trolls,Aldebaran,9.02,17.97,18.06
Bruce Springsteen,Western Stars,4.16,18.59,41.95
Emmylou Harris And The Nash Ramblers,Ramble In Music City: The Lost Concert,8.49,18.39,69.75
The Notting Hillbillies,Missing... Presumed Having A Good Time,2.02,7.14,15.16
Status Quo,Blue For You,1.5,4.7,9.9
Roxy Music,Avalon,4.04,9.39,25.27
Dire Straits,Communiqué,1.0,7.75,20.0
Procol Harum,Exotic Birds And Fruit,2.4,4.09,10.17
Mike Oldfield,Tubular Bells II,6.15,13.07,40.42
Premiata Forneria Marconi,Come Ti Va In Riva Alla Città,5.11,15.32,30.66
The Beatles,Hey Jude,20.44,28.62,28.62
Status Quo,Rockin' All Over The World,3.01,4.9,8.1
Status Quo,Just Supposin'...,1.99,4.25,7.9
Dire Straits & Mark Knopfler,Private Investigations (The Best Of),19.03,28.2,38.12
The Alan Parsons Project,Historias De Misterio E Imaginacion = Tales Of Mystery And Imagination,3.07,5.62,15.33
The Police,Ghost In The Machine,2.9,7.99,15.0
The Alan Parsons Project,Ammonia Avenue,1.12,6.38,11.87
