Artist,Title,Min,Median,Higher
a-ha,East Of The Sun West Of The Moon,€5.05,€11.62,€26.28
a-ha,Hunting High And Low,€1.07,€10.21,€15.33
a-ha,Scoundrel Days,€3.53,€5.05,€20.44
a-ha,Stay On These Roads,€3.07,€6.13,€15.33
The Alan Parsons Project,Ammonia Avenue,€1.12,€6.38,€11.87
The Alan Parsons Project,Historias De Misterio E Imaginacion = Tales Of Mystery And Imagination,€3.07,€5.62,€15.33
The Alan Parsons Project,Pyramid,€1.02,€3.35,€14.11
Andrew Lloyd Webber,Cats,€2.83,€5.73,€51.10
Angelo Branduardi,Highdown Fair,€3.00,€10.00,€12.00
The Beatles,Hey Jude,€20.44,€28.62,€28.62
Billie Holiday,Lady In Satin,€11.82,€17.41,€21.02
Bonnie Raitt,Nick Of Time,€3.39,€4.84,€12.55
Bruce Springsteen,Tunnel Of Love,€2.48,€11.06,€62.00
Bruce Springsteen,Western Stars,€4.19,€18.95,€42.87
Cariocas,Batida,€6.13,€10.22,€30.66
Charlie Parker,Jam Session,€13.37,€17.11,€32.54
Claudio Baglioni,La Vita È Adesso,€2.06,€5.17,€20.15
Claudio Baglioni,Solo,€2.04,€9.71,€29.62
The Crusaders With B. B. King* And The Royal Philharmonic Orchestra,"Royal Jam (Recorded Live At The Royal Festival Hall, London)",€0.99,€5.44,€7.91
Culture Club,From Luxury To Heartache,€1.01,€2.30,€5.67
Culture Club,Waking Up With The House On Fire,€1.85,€3.58,€10.22
The Dave Brubeck Quartet,Time Out,€13.01,€17.38,€19.42
Dire Straits,Communiqué,€1.01,€7.83,€20.22
Dire Straits,Making Movies,€4.79,€5.60,€5.66
Dire Straits & Mark Knopfler,Private Investigations (The Best Of),€19.44,€28.20,€38.12
The Doors,13,€10.26,€21.38,€30.56
The Doors,The Doors (Music From The Original Motion Picture),€5.10,€17.25,€51.10
The Doors,Weird Scenes Inside The Gold Mine,€17.44,€25.88,€37.17
Duran Duran,Notorious,€2.04,€7.15,€24.53
Edoardo Bennato,Burattino Senza Fili,€2.01,€15.16,€45.48
Edoardo Bennato,Non Farti Cadere Le Braccia,€2.33,€6.89,€22.48
Electric Light Orchestra,Discovery,€2.02,€5.56,€10.11
Electric Light Orchestra,Eldorado - A Symphony By The Electric Light Orchestra,€5.81,€9.68,€16.47
Ella Fitzgerald With Orchestra*,The First Lady Of Jazz,€6.49,€6.49,€6.49
"Emerson, Lake & Palmer",In Concert,€1.93,€5.05,€10.97
Emmylou Harris And The Nash Ramblers,Ramble In Music City: The Lost Concert,€8.49,€18.39,€69.75
Eurythmics,We Too Are One,€2.93,€5.00,€12.13
Fausto Papetti,"39a Raccolta - ""Sax' Idea""",€0.98,€7.82,€14.66
Fernandez Pray Und Sein Orchester,Midnight In Rio,€1.92,€4.79,€5.74
Fleetwood Mac,Mirage,€3.06,€6.03,€10.22
Battiato*,L'Era Del Cinghiale Bianco,€29.00,€58.56,€180.00
Franco Cerri,Nuages,€18.98,€26.05,€52.19
Frank Zappa,Orchestral Favorites,€4.65,€11.62,€13.95
Genesis,Live,€2.37,€6.24,€15.16
The Gerry Mulligan Quartet* With Chet Baker,Soft Shoe,€12.94,€17.86,€18.45
Gianna Nannini,Maschi E Altri,€2.55,€9.70,€38.32
Graciela Guevara,Graciela Guevara,€21.57,€21.57,€21.57
James Taylor (2),James Taylor's Greatest Hits,€1.47,€3.50,€14.73
Jimi Hendrix,Blues,€17.67,€24.17,€36.79
Joe Sample,Rainbow Seeker,€3.76,€8.30,€23.48
Joe Sample,David T. Walker - Swing Street Cafe,€2.73,€5.20,€18.60
John Barry,Dances With Wolves (Original Motion Picture Soundtrack),€4.06,€13.53,€35.77
The London Symphony Orchestra And Chambre Choir*,Tommy / As Performed By The London Symphony Orchestra And Chambre Choir With Guest Soloists,€1.00,€5.04,€37.20
Los Cachaos,Samba Rumba Y Cha Cha Cha,€10.78,€10.78,€10.78
Luca Barbarossa,Al Di Là Del Muro,€0.88,€1.96,€9.78
Luigi Tenco,Agli Amici Cantautori,€3.87,€6.77,€11.62
Madonna,Like A Prayer,€3.43,€5.81,€23.19
Madonna,Like A Virgin,€4.03,€9.05,€20.22
Madonna,The First Album,€4.04,€10.11,€30.32
Madonna,True Blue,€4.54,€7.23,€15.50
Marvin Gaye & Tammi Terrell,United,€12.95,€22.89,€31.41
Mel Lewis,Live In Montreux,€6.56,€6.62,€13.23
Michael Jackson,Bad,€8.99,€15.45,€40.00
Mike Oldfield,Amarok,€9.10,€16.89,€40.43
Mike Oldfield,Earth Moving,€2.55,€5.11,€10.22
Mike Oldfield,Five Miles Out,€1.01,€6.60,€12.25
Mike Oldfield,Platinum,€3.59,€7.93,€12.93
