Artist,Title,Collection,Min,Median,Higher,Min_230529,Median_230529,Higher_230529,Min_230607,Median_230607,Higher_230607,Min_230612,Median_230612,Higher_230612,Min_230619,Median_230619,Higher_230619,Min_230626,Median_230626,Higher_230626,Min_230703,Median_230703,Higher_230703,Min_230711,Median_230711,Higher_230711,Min_230717,Median_230717,Higher_230717
a-ha,East Of The Sun West Of The Moon,Original Collection Italy,5.05,11.62,26.28,5.05,11.62,26.28,5.11,11.75,26.57,5.05,11.62,26.28,4.95,11.38,25.72,5.05,13.14,26.29,5.05,13.14,26.29,5.0,26.0,26.0,4.94,25.71,25.71
a-ha,Hunting High And Low,Original Collection Italy,1.07,10.21,15.33,1.07,10.21,15.33,1.08,10.32,15.49,1.07,10.21,15.33,1.05,10.0,15.0,1.06,10.1,15.16,1.06,10.1,15.16,1.05,15.0,15.0,1.03,14.67,14.67
a-ha,Stay On These Roads,Original Collection Italy,3.0,7.0,15.0,3.0,7.0,15.0,3.03,7.08,15.16,3.0,7.0,15.0,2.94,6.85,14.68,2.97,6.92,14.84,2.97,6.92,14.84,2.94,14.68,14.68,2.87,14.35,14.35
The Alan Parsons Project,Ammonia Avenue,2023 Second Hand,1.12,6.38,11.87,1.12,6.38,11.87,1.13,6.45,12.0,1.12,6.38,11.87,1.1,6.24,11.62,1.11,6.31,11.74,1.16,7.0,12.0,1.15,11.87,11.87,1.13,11.61,11.61
The Alan Parsons Project,Historias De Misterio E Imaginacion = Tales Of Mystery And Imagination,2023 Second Hand,3.07,5.62,15.33,3.07,5.62,15.33,3.1,5.68,15.49,3.07,5.62,15.33,3.0,5.5,15.0,3.0,5.8,15.0,3.0,5.8,15.0,2.97,14.84,14.84,2.9,14.51,14.51
The Alan Parsons Project,Pyramid,2023 Second Hand,1.02,3.35,14.11,1.02,3.35,14.11,1.03,3.38,14.27,1.02,3.35,14.11,1.0,3.28,13.81,1.01,3.31,13.96,1.01,3.31,13.96,1.0,13.81,13.81,0.98,13.51,13.51
Andrew Lloyd Webber,Cats,2022 Second Hand,2.83,5.73,51.1,2.83,5.73,51.1,2.86,5.79,51.65,2.83,5.73,51.1,2.76,5.6,50.0,2.79,5.67,50.55,2.79,5.67,50.55,2.76,50.0,50.0,2.7,48.9,48.9
Angelo Branduardi,Highdown Fair,2022 Second Hand,3.0,10.0,12.0,3.0,10.0,12.0,3.03,10.11,12.13,3.0,10.0,12.0,2.94,9.78,11.74,2.97,9.89,11.87,2.97,9.89,11.87,2.94,11.74,11.74,2.87,11.48,11.48
The Beatles,Hey Jude,Father Collection,20.44,28.62,28.62,20.44,28.62,28.62,20.66,28.92,28.92,20.44,28.62,28.62,20.0,28.0,28.0,20.22,28.31,28.31,20.22,28.31,28.31,20.0,28.0,28.0,19.56,27.38,27.38
Billie Holiday,Lady In Satin,Original Collection,12.84,17.65,22.83,12.84,17.65,22.83,12.98,18.79,24.79,12.84,18.59,24.52,12.56,18.19,24.0,12.7,18.39,24.26,12.7,18.39,24.26,12.56,24.0,24.0,12.29,23.47,23.47
Bonnie Raitt,Nick Of Time,2022 Second Hand,3.39,4.84,12.55,3.39,4.84,12.55,3.43,4.9,12.68,3.39,4.84,12.55,3.32,4.74,12.28,3.35,4.79,12.41,3.35,4.79,12.41,3.32,12.28,12.28,3.24,12.01,12.01
Bruce Springsteen,Tunnel Of Love,Original Collection,2.48,11.06,62.0,2.48,11.06,62.0,2.51,11.18,62.67,2.48,11.06,62.0,2.43,10.82,60.67,2.45,10.94,61.33,2.45,10.94,61.33,2.43,60.67,60.67,2.37,59.33,59.33
Bruce Springsteen,Western Stars,Original Collection,4.1,18.36,41.95,4.1,18.36,41.95,4.14,18.56,42.4,4.16,18.59,41.95,4.07,18.19,41.05,4.17,18.76,41.95,4.17,18.04,41.95,4.13,41.49,41.49,14.75,41.48,41.48
Cariocas,Batida,Original Collection Italy,6.13,10.22,30.66,6.13,10.22,30.66,6.58,10.11,30.32,6.51,10.0,30.0,6.37,9.78,29.35,6.44,9.89,29.68,6.44,9.89,29.68,6.37,29.35,29.35,6.23,28.71,28.71
Claudio Baglioni,La Vita È Adesso,2022 Second Hand Rita,2.06,5.17,20.15,2.06,5.17,20.15,2.08,5.22,20.37,2.06,5.17,20.15,1.95,5.16,17.61,1.97,5.22,17.81,1.97,5.22,17.81,1.95,17.61,17.61,1.9,17.23,17.23
Claudio Baglioni,Solo,Original Collection Italy,2.04,9.71,29.62,2.04,9.71,29.62,2.07,9.81,29.94,2.04,9.71,29.62,2.0,9.5,28.98,2.02,9.6,29.3,2.02,9.6,29.3,2.0,28.98,28.98,1.96,28.34,28.34
The Crusaders With B. B. King* And The Royal Philharmonic Orchestra,"Royal Jam (Recorded Live At The Royal Festival Hall, London)",2023 Second Hand,0.99,5.44,7.91,0.99,5.44,7.91,1.0,5.5,8.0,0.99,5.44,7.91,0.97,5.32,7.74,0.98,5.38,7.83,0.98,5.38,7.83,0.97,7.74,7.74,0.9500000000000001,7.57,7.57
Culture Club,Waking Up With The House On Fire,2022 Second Hand,1.85,3.58,10.22,1.85,3.58,10.22,1.87,3.62,10.33,1.85,3.58,10.22,1.81,3.5,10.0,1.83,3.54,10.11,1.83,3.54,10.11,1.81,10.0,10.0,1.77,9.78,9.78
Dire Straits,Communiqué,2023 Second Hand,1.01,7.83,20.22,1.01,7.83,20.22,1.01,7.83,20.22,1.0,7.75,20.0,0.98,7.58,19.57,1.01,8.59,20.22,1.01,8.59,20.22,1.0,20.0,20.0,0.99,19.78,19.78
Dire Straits,Making Movies,2023 Second Hand,4.79,5.6,5.66,4.79,5.6,5.66,4.85,5.66,5.72,4.79,5.6,5.66,4.95,5.76,5.84,5.0,5.82,5.9,5.0,5.82,5.9,4.95,5.84,5.84,4.84,5.71,5.71
Dire Straits & Mark Knopfler,Private Investigations (The Best Of),Original Collection,19.44,28.2,38.12,19.44,28.2,38.12,19.65,28.5,38.53,19.03,28.2,38.12,19.23,27.71,37.3,19.44,28.01,37.71,19.23,27.89,37.71,19.02,37.3,37.3,19.02,36.59,36.59
The Doors,13,Original Collection Rita,10.26,21.38,30.56,10.26,21.38,30.56,10.37,21.61,30.89,10.26,21.38,30.56,10.04,20.92,29.9,10.15,21.15,30.23,10.15,21.15,30.23,10.04,29.9,29.9,9.82,29.24,29.24
The Doors,The Doors (Music From The Original Motion Picture),Original Collection Italy,4.99,16.37,36.17,4.99,16.37,36.17,5.04,16.55,36.56,4.99,16.37,39.99,4.88,16.02,39.13,4.94,16.2,39.56,4.94,16.2,39.56,4.94,39.56,39.56,4.83,38.69,38.69
The Doors,Weird Scenes Inside The Gold Mine,Original Collection Rita,17.44,25.88,37.17,17.44,25.88,37.17,17.62,26.16,37.57,17.44,25.88,37.17,17.06,25.32,36.37,17.25,25.6,36.77,17.25,25.6,36.77,17.06,36.37,36.37,16.69,35.57,35.57
Duran Duran,Notorious,Original Collection Italy,2.04,7.15,24.53,2.04,7.15,24.53,2.02,6.97,24.26,2.0,6.9,24.0,1.96,6.75,23.48,1.98,6.82,23.74,1.98,6.82,23.74,1.96,23.48,23.48,1.9100000000000001,22.97,22.97
Edoardo Bennato,Burattino Senza Fili,Father Collection,2.01,15.16,45.48,2.01,15.16,45.48,2.03,15.33,45.97,1.99,15.0,44.99,1.95,14.68,44.02,1.52,14.66,45.48,1.52,13.65,26.88,1.48,29.67,29.67,1.45,29.02,29.02
Edoardo Bennato,Non Farti Cadere Le Braccia,Original Collection Italy,2.33,6.89,22.48,2.33,6.89,22.48,2.35,6.97,22.73,3.0,7.25,22.0,2.94,7.09,21.53,2.97,7.17,21.76,2.97,7.17,21.76,2.94,21.53,21.53,2.87,21.05,21.05
Electric Light Orchestra,Discovery,2023 Second Hand,2.02,5.5600000000000005,10.11,2.02,5.5600000000000005,10.11,2.04,5.62,10.22,2.02,5.5600000000000005,10.11,1.98,5.44,9.89,2.0,5.5,10.0,2.0,5.5,10.0,1.98,9.89,9.89,1.9300000000000002,9.67,9.67
Electric Light Orchestra,Eldorado - A Symphony By The Electric Light Orchestra,2023 Second Hand,5.8100000000000005,9.68,16.47,5.8100000000000005,9.68,16.47,5.88,9.79,16.65,5.8100000000000005,9.68,16.47,5.69,9.47,16.11,5.75,9.58,16.29,5.75,9.58,16.29,5.69,16.11,16.11,5.5600000000000005,15.76,15.76
Ella Fitzgerald With Orchestra*,The First Lady Of Jazz,45,6.49,6.49,6.49,6.49,6.49,6.49,6.5600000000000005,6.5600000000000005,6.5600000000000005,6.49,6.49,6.49,6.35,6.35,6.35,6.42,6.42,6.42,6.42,6.42,6.42,6.35,6.35,6.35,6.21,6.21,6.21
"Emerson, Lake & Palmer",In Concert,2023 Second Hand,1.89,4.94,10.73,1.89,4.94,10.73,1.91,5.0,10.85,1.89,4.95,10.73,1.85,4.84,10.5,1.87,4.89,10.61,1.87,4.89,10.61,1.85,10.5,10.5,1.81,10.27,10.27
Emmylou Harris And The Nash Ramblers,Ramble In Music City: The Lost Concert,Original Collection,8.49,18.39,69.75,8.49,18.39,69.75,8.58,18.58,70.5,8.49,18.39,69.75,8.31,17.99,68.25,8.4,18.19,69.0,8.4,11.05,69.0,8.31,68.25,68.25,8.13,66.75,66.75
Fausto Papetti,"39a Raccolta - ""Sax' Idea""",2021 Second Hand,0.98,7.82,14.66,0.98,7.82,14.66,0.99,7.91,14.82,0.98,7.82,14.66,0.96,7.65,14.35,0.97,7.74,14.51,0.97,7.74,14.51,0.96,14.35,14.35,0.9400000000000001,14.03,14.03
Fernandez Pray Und Sein Orchester,Midnight In Rio,45,1.92,4.79,5.74,1.92,4.79,5.74,1.94,4.85,5.8,1.92,4.79,5.74,1.88,4.69,5.62,1.9,4.74,5.68,1.9,4.74,5.68,1.88,5.62,5.62,1.8399999999999999,5.5,5.5
Fleetwood Mac,Mirage,2022 Second Hand,3.06,6.03,10.22,3.06,6.03,10.22,3.09,6.09,10.33,2.99,5.95,12.08,2.93,5.82,11.82,2.96,5.88,11.95,2.96,5.88,11.95,2.93,11.82,11.82,2.86,11.56,11.56
Battiato*,L'Era Del Cinghiale Bianco,Father Collection,29.0,58.56,180.0,29.0,58.56,180.0,29.31,59.19,181.94,29.0,58.56,180.0,28.38,57.3,176.13,28.69,57.93,178.06,28.69,57.93,178.06,21.76,178.04,178.04,21.28,174.13,174.13
Franco Cerri,Nuages,Original Collection Italy,18.98,26.05,52.19,18.98,26.05,52.19,19.18,26.33,52.76,18.98,26.05,52.19,18.57,25.49,51.07,18.78,25.77,51.63,18.78,25.77,51.63,18.57,51.07,51.07,18.16,49.95,49.95
Frank Zappa,Orchestral Favorites,Original Collection Italy,4.65,11.62,13.95,4.65,11.62,13.95,5.05,12.13,15.16,5.0,12.0,15.0,4.89,11.74,14.68,4.95,11.87,14.84,4.95,11.87,14.84,4.89,14.68,14.68,4.78,14.35,14.35
Genesis,Live,2023 Second Hand,2.37,6.24,15.16,2.37,6.24,15.16,2.39,6.3,15.33,2.34,5.67,15.0,2.29,5.55,14.68,2.37,5.73,15.16,2.37,5.73,15.16,2.31,14.84,14.84,2.31,14.83,14.83
Gianna Nannini,Maschi E Altri,Original Collection Italy,2.55,9.7,38.32,2.55,9.7,38.32,2.58,9.81,38.74,2.55,9.7,38.32,2.5,9.49,37.5,2.53,9.6,37.91,2.53,9.6,37.91,2.5,37.5,37.5,2.45,36.68,36.68
Graciela Guevara,Graciela Guevara,Original Collection Italy,21.57,21.57,21.57,21.57,21.57,21.57,21.8,21.8,21.8,21.57,21.57,21.57,21.1,21.1,21.1,21.34,21.34,21.34,21.34,21.34,21.34,21.1,21.1,21.1,20.64,20.64,20.64
James Taylor (2),James Taylor's Greatest Hits,2023 Second Hand,1.47,3.5,14.73,1.47,3.5,14.73,1.49,3.54,14.89,1.47,3.5,14.73,1.44,3.42,14.42,1.46,3.46,14.57,1.46,3.46,14.57,1.44,14.42,14.42,1.4100000000000001,14.1,14.1
