,Artist,Title,Min,Median,Higher,Min_290523,Median_290523,Higher_290523,Min_070623,Median_070623,Higher_070623,Min_120623,Median_120623,Higher_120623,Min_190623,Median_190623,Higher_190623,Min_260623,Median_260623,Higher_260623
0,a-ha,East Of The Sun West Of The Moon,5.05,11.62,26.28,5.05,11.62,26.28,5.11,11.75,26.57,5.05,11.62,26.28,4.95,11.38,25.72,5.05,13.14,26.29
1,a-ha,Hunting High And Low,1.07,10.21,15.33,1.07,10.21,15.33,1.08,10.32,15.49,1.07,10.21,15.33,1.05,10.0,15.0,1.06,10.1,15.16
2,a-ha,Scoundrel Days,3.5300000000000002,5.05,20.44,3.5300000000000002,5.05,20.44,3.5700000000000003,5.11,20.66,3.5300000000000002,5.05,20.44,3.46,4.94,20.0,3.49,5.0,20.22
3,a-ha,Stay On These Roads,3.0,7.0,15.0,3.0,7.0,15.0,3.03,7.08,15.16,3.0,7.0,15.0,2.94,6.85,14.68,2.9699999999999998,6.92,14.84
4,The Alan Parsons Project,Ammonia Avenue,1.12,6.38,11.87,1.12,6.38,11.87,1.13,6.45,12.0,1.12,6.38,11.87,1.1,6.24,11.62,1.11,6.31,11.74
5,The Alan Parsons Project,Historias De Misterio E Imaginacion = Tales Of Mystery And Imagination,3.07,5.62,15.33,3.07,5.62,15.33,3.1,5.68,15.49,3.07,5.62,15.33,3.0,5.5,15.0,3.0,5.8,15.0
6,The Alan Parsons Project,Pyramid,1.02,3.35,14.11,1.02,3.35,14.11,1.03,3.38,14.27,1.02,3.35,14.11,1.0,3.2800000000000002,13.81,1.01,3.31,13.96
7,Andrew Lloyd Webber,Cats,2.83,5.73,51.1,2.83,5.73,51.1,2.86,5.79,51.65,2.83,5.73,51.1,2.76,5.6,50.0,2.79,5.67,50.55
8,Angelo Branduardi,Highdown Fair,3.0,10.0,12.0,3.0,10.0,12.0,3.03,10.11,12.13,3.0,10.0,12.0,2.94,9.78,11.74,2.9699999999999998,9.89,11.87
9,The Beatles,Hey Jude,20.44,28.62,28.62,20.44,28.62,28.62,20.66,28.92,28.92,20.44,28.62,28.62,20.0,28.0,28.0,20.22,28.31,28.31
10,Billie Holiday,Lady In Satin,12.84,17.65,22.83,12.84,17.65,22.83,12.98,18.79,24.79,12.84,18.59,24.52,12.56,18.19,24.0,12.7,18.39,24.26
11,Bonnie Raitt,Nick Of Time,3.39,4.84,12.55,3.39,4.84,12.55,3.43,4.9,12.68,3.39,4.84,12.55,3.32,4.74,12.28,3.35,4.79,12.41
12,Bruce Springsteen,Tunnel Of Love,2.48,11.06,62.0,2.48,11.06,62.0,2.51,11.18,62.67,2.48,11.06,62.0,2.43,10.82,60.67,2.45,10.94,61.33
13,Bruce Springsteen,Western Stars,4.1,18.36,41.95,4.1,18.36,41.95,4.14,18.56,42.4,4.16,18.59,41.95,4.07,18.19,41.05,4.17,18.76,41.95
14,Cariocas,Batida,6.13,10.22,30.66,6.13,10.22,30.66,6.58,10.11,30.32,6.51,10.0,30.0,6.37,9.78,29.35,6.44,9.89,29.68
15,Claudio Baglioni,La Vita È Adesso,2.06,5.17,20.15,2.06,5.17,20.15,2.08,5.22,20.37,2.06,5.17,20.15,1.9500000000000002,5.16,17.61,1.97,5.22,17.81
16,Claudio Baglioni,Solo,2.04,9.71,29.62,2.04,9.71,29.62,2.07,9.81,29.94,2.04,9.71,29.62,2.0,9.5,28.98,2.02,9.6,29.3
17,The Crusaders With B. B. King* And The Royal Philharmonic Orchestra,"Royal Jam (Recorded Live At The Royal Festival Hall, London)",0.99,5.44,7.91,0.99,5.44,7.91,1.0,5.5,8.0,0.99,5.44,7.91,0.97,5.32,7.74,0.98,5.38,7.83
18,Culture Club,Waking Up With The House On Fire,1.85,3.58,10.22,1.85,3.58,10.22,1.87,3.62,10.33,1.85,3.58,10.22,1.81,3.5,10.0,1.83,3.54,10.11
19,Dire Straits,Communiqué,1.01,7.83,20.22,1.01,7.83,20.22,1.01,7.83,20.22,1.0,7.75,20.0,0.98,7.58,19.57,1.01,8.59,20.22
20,Dire Straits,Making Movies,4.79,5.6,5.66,4.79,5.6,5.66,4.85,5.66,5.72,4.79,5.6,5.66,4.95,5.76,5.84,5.0,5.82,5.9
21,Dire Straits & Mark Knopfler,Private Investigations (The Best Of),19.44,28.2,38.12,19.44,28.2,38.12,19.65,28.5,38.53,19.03,28.2,38.12,19.23,27.71,37.3,19.44,28.01,37.71
22,The Doors,13,10.26,21.38,30.56,10.26,21.38,30.56,10.37,21.61,30.89,10.26,21.38,30.56,10.04,20.92,29.9,10.15,21.15,30.23
23,The Doors,The Doors (Music From The Original Motion Picture),4.99,16.37,36.17,4.99,16.37,36.17,5.04,16.55,36.56,4.99,16.37,39.99,4.88,16.02,39.13,4.94,16.2,39.56
24,The Doors,Weird Scenes Inside The Gold Mine,17.44,25.88,37.17,17.44,25.88,37.17,17.62,26.16,37.57,17.44,25.88,37.17,17.06,25.32,36.37,17.25,25.6,36.77
25,Duran Duran,Notorious,2.04,7.15,24.53,2.04,7.15,24.53,2.02,6.97,24.26,2.0,6.9,24.0,1.96,6.75,23.48,1.98,6.82,23.74
26,Edoardo Bennato,Burattino Senza Fili,2.01,15.16,45.48,2.01,15.16,45.48,2.03,15.33,45.97,1.99,15.0,44.99,1.9500000000000002,14.68,44.02,1.52,14.66,45.48
27,Edoardo Bennato,Non Farti Cadere Le Braccia,2.33,6.89,22.48,2.33,6.89,22.48,2.35,6.97,22.73,3.0,7.25,22.0,2.94,7.09,21.53,2.9699999999999998,7.17,21.76
28,Electric Light Orchestra,Discovery,2.02,5.5600000000000005,10.11,2.02,5.5600000000000005,10.11,2.04,5.62,10.22,2.02,5.5600000000000005,10.11,1.98,5.44,9.89,2.0,5.5,10.0
29,Electric Light Orchestra,Eldorado - A Symphony By The Electric Light Orchestra,5.8100000000000005,9.68,16.47,5.8100000000000005,9.68,16.47,5.88,9.79,16.65,5.8100000000000005,9.68,16.47,5.69,9.47,16.11,5.75,9.58,16.29
30,Ella Fitzgerald With Orchestra*,The First Lady Of Jazz,6.49,6.49,6.49,6.49,6.49,6.49,6.5600000000000005,6.5600000000000005,6.5600000000000005,6.49,6.49,6.49,6.35,6.35,6.35,6.42,6.42,6.42
31,"Emerson, Lake & Palmer",In Concert,1.8900000000000001,4.94,10.73,1.8900000000000001,4.94,10.73,1.9100000000000001,5.0,10.85,1.8900000000000001,4.95,10.73,1.85,4.84,10.5,1.87,4.89,10.61
32,Emmylou Harris And The Nash Ramblers,Ramble In Music City: The Lost Concert,8.49,18.39,69.75,8.49,18.39,69.75,8.58,18.58,70.5,8.49,18.39,69.75,8.31,17.99,68.25,8.4,18.19,69.0
33,Fausto Papetti,"39a Raccolta - ""Sax' Idea""",0.98,7.82,14.66,0.98,7.82,14.66,0.99,7.91,14.82,0.98,7.82,14.66,0.96,7.65,14.35,0.97,7.74,14.51
34,Fernandez Pray Und Sein Orchester,Midnight In Rio,1.92,4.79,5.74,1.92,4.79,5.74,1.94,4.85,5.8,1.92,4.79,5.74,1.88,4.69,5.62,1.9,4.74,5.68
35,Fleetwood Mac,Mirage,3.06,6.03,10.22,3.06,6.03,10.22,3.09,6.09,10.33,2.99,5.95,12.08,2.93,5.82,11.82,2.96,5.88,11.95
36,Battiato*,L'Era Del Cinghiale Bianco,29.0,58.56,180.0,29.0,58.56,180.0,29.31,59.19,181.94,29.0,58.56,180.0,28.38,57.3,176.13,28.69,57.93,178.06
37,Franco Cerri,Nuages,18.98,26.05,52.19,18.98,26.05,52.19,19.18,26.33,52.76,18.98,26.05,52.19,18.57,25.49,51.07,18.78,25.77,51.63
38,Frank Zappa,Orchestral Favorites,4.65,11.62,13.95,4.65,11.62,13.95,5.05,12.13,15.16,5.0,12.0,15.0,4.89,11.74,14.68,4.95,11.87,14.84
39,Genesis,Live,2.37,6.24,15.16,2.37,6.24,15.16,2.39,6.3,15.33,2.34,5.67,15.0,2.29,5.55,14.68,2.37,5.73,15.16
40,Gianna Nannini,Maschi E Altri,2.55,9.7,38.32,2.55,9.7,38.32,2.58,9.81,38.74,2.55,9.7,38.32,2.5,9.49,37.5,2.5300000000000002,9.6,37.91
41,Graciela Guevara,Graciela Guevara,21.57,21.57,21.57,21.57,21.57,21.57,21.8,21.8,21.8,21.57,21.57,21.57,21.1,21.1,21.1,21.34,21.34,21.34
42,James Taylor (2),James Taylor's Greatest Hits,1.47,3.5,14.73,1.47,3.5,14.73,1.49,3.54,14.89,1.47,3.5,14.73,1.44,3.42,14.42,1.46,3.46,14.57
