Catalog_ID,Artist,Title,Label,Format,Released,Release_id,Notes,Inserted_Date,Lowest,Median,Highest,Lowest_Price,Median_Price,Highest_Price
LC-001,Cai,Mas Allá De Nuestras Mentes Diminutas,"Lacochu, Trova Records","LP, Album",1978,1819813,"Lowest:	€120.00
Median:	€120.00
Highest:	€120.00",2023-04-20,€120.00,€120.00,€120.00,€120.00,€120.00,€120.00
EPC 85054,Cai,Canción De La Primavera,Epic,"LP, Album",1981,4007248,"Lowest:	€18.00
Median:	€24.95
Highest:	€50.05",2023-04-20,€18.00,€24.95,€50.05,€18.00,€24.95,€50.05
EPC 84218,Cai,Noche Abierta,Epic,"LP, Album, Gat",1980,1549999,"Lowest:	€14.00
Median:	€28.99
Highest:	€59.15",2023-04-20,€14.00,€28.99,€59.15,€14.00,€28.99,€59.15
"87905 XD, 87905-XD",Canarios,Ciclos,"Ariola, Ariola","2xLP, Album",1974,745518,"Lowest:	€8.00
Median:	€30.91
Highest:	€70.00",2023-04-20,€8.00,€30.91,€70.00,€8.00,€30.91,€70.00
JETLX 500,Electric Light Orchestra,Discovery,Jet Records,"LP, Album, Gat",1979,1284470,"Lowest:	€2.00
Median:	€5.75
Highest:	€10.00",2023-04-20,€2.00,€5.75,€10.00,€2.00,€5.75,€10.00
25.144-XD,Electric Light Orchestra,Out Of The Blue,"United Artists Records, Jet Records","2xLP, Album",1978,2843993,"Lowest:	€1.50
Median:	€9.99
Highest:	€17.99",2023-04-20,€1.50,€9.99,€17.99,€1.50,€9.99,€17.99
"28 273-I, 28273-I",Electric Light Orchestra,A New World Record,"United Artists Records, Jet Records, United Artists Records","LP, Album, Smo",1976,1924220,"Lowest:	€1.40
Median:	€4.50
Highest:	€8.00",2023-04-20,€1.40,€4.50,€8.00,€1.40,€4.50,€8.00
"87302 I, 87.302-I","Emerson, Lake & Palmer",Brain Salad Surgery,"Manticore, Manticore","LP, Album, Gat",1973,1940427,"Lowest:	€3.99
Median:	€11.00
Highest:	€17.00",2023-04-20,€3.99,€11.00,€17.00,€3.99,€11.00,€17.00
85.527-SE,"Emerson, Lake & Palmer",Tarkus,Island Records,"LP, Album, Gat",1971,3289667,"Lowest:	€5.99
Median:	€10.00
Highest:	€16.50",2023-04-20,€5.99,€10.00,€16.50,€5.99,€10.00,€16.50
85.382-SE,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",Island Records,"LP, Album",1971,4928694,"Lowest:	€3.99
Median:	€9.00
Highest:	€14.00",2023-04-20,€3.99,€9.00,€14.00,€3.99,€9.00,€14.00
