song,artist_1,artist_id_1,genre_1,album,label,popularity,total_tracks,album_id,duration,date,date_album,imagen,url_song,artist_2,genre_2,artist_id_2,artist_3,genre_3,artist_id_3,artist_4,artist_id_4,genre_4,artist_5,artist_id_5,genre_5
Railroad Worksong,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,328053,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/15OdDbTA8XfNAaPbGxksag,none,none,none,none,none,none,none,none,none,none,none,none
Bewildered,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,156426,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/5ZPJCVx4ErATnacf2WxM8y,none,none,none,none,none,none,none,none,none,none,none,none
Your Own Sweet Way,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,271706,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/4PX8oveB2dH3lHbFsdXiGW,none,none,none,none,none,none,none,none,none,none,none,none
Run Me Down,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,144586,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/4e4A5W5a5ioa8zux0pGbIN,none,none,none,none,none,none,none,none,none,none,none,none
One Way Gal,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,189106,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/0sEim9GbuNNhMp8xz7yCLD,none,none,none,none,none,none,none,none,none,none,none,none
Blues Stay Away From Me,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,230320,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/2kwTeE7fR9LrZm5IvBLnwa,none,none,none,none,none,none,none,none,none,none,none,none
Will You Miss Me,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,230160,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/0mcmtzscOai7R77urR8uEf,none,none,none,none,none,none,none,none,none,none,none,none
Please Baby,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,229693,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/0k16QD4DOTO3MjiGms5Gs9,none,none,none,none,none,none,none,none,none,none,none,none
Weapon Of Prayer,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,189066,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/39pdZNvQYj4lJWw2UQwNc1,none,none,none,none,none,none,none,none,none,none,none,none
That's Where I Belong,The Notting Hillbillies,1dqalNipWI6wAnatpwQtWu,"country rock, uk americana",Missing... Presumed Having A Good Time,EMI,54.0,11,4HyXgM6clwGCwHe2Yhxt1B,170960,2023-03-09T08:29:09Z,1990-01-01,https://i.scdn.co/image/ab67616d0000b2736d668837abacb646dd7eae2b,https://open.spotify.com/track/03ZFlIdZj0LNeO2wtnbscY,none,none,none,none,none,none,none,none,none,none,none,none
