song,artist_1,artist_id_1,genre_1,album,label,popularity,total_tracks,album_id,duration,date,date_album,imagen,url_song,artist_2,genre_2,artist_id_2,artist_3,genre_3,artist_id_3,artist_4,artist_id_4,genre_4,artist_5,artist_id_5,genre_5
Apache,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,174186,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/2SVFUYHqXWpDE6Uq61i1wb,none,none,none,none,none,none,none,none,none,none,none,none
Man of Mystery,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,121920,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/7mYOtF6BDxVNRgQeNKCD5X,none,none,none,none,none,none,none,none,none,none,none,none
The Frightened City,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,142626,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/3EVGHK5Z67qEcbCfgqy1cm,none,none,none,none,none,none,none,none,none,none,none,none
Guitar Tango,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,179826,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/4Om7MkLeggaDYg4WegTqol,none,none,none,none,none,none,none,none,none,none,none,none
Kon-Tiki,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,115226,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/7sNKbq16wS0ET7lYr0otdB,none,none,none,none,none,none,none,none,none,none,none,none
Foot Tapper,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,154866,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/6Rhrr1lVeXzG2cyozNJIH7,none,none,none,none,none,none,none,none,none,none,none,none
Genie with the Light Brown Lamp,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,160333,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/0F9cErZsPUOEwRPRS5MFf8,none,none,none,none,none,none,none,none,none,none,none,none
The War Lord,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,136466,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/3jfgSiZAH5CJvFn59m1HzB,none,none,none,none,none,none,none,none,none,none,none,none
A Place in the Sun,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,134066,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/2DWLHVPjIYTkOXX3WpFAzE,none,none,none,none,none,none,none,none,none,none,none,none
Atlantis,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,168053,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/1ugrQvWlb6fepRAIVOgu1C,none,none,none,none,none,none,none,none,none,none,none,none
Wonderful Land,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,123000,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/6GRbEcwTzl4yPOQe1aUlKb,none,none,none,none,none,none,none,none,none,none,none,none
F.B.I.,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,140866,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/3gA3pDQzfeaPl1ZEsPXdi5,none,none,none,none,none,none,none,none,none,none,none,none
The Savage,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,144013,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/1FFr74og30wPeo4jwDRHCq,none,none,none,none,none,none,none,none,none,none,none,none
Geronimo,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,139506,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/2dc7gf8U6yLc4dTCDb5V41,none,none,none,none,none,none,none,none,none,none,none,none
Shindig,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,137826,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/2gwYKbM2vKJBgoMtgENSjV,none,none,none,none,none,none,none,none,none,none,none,none
Stingray,The Shadows,03hfAxVdAWj7kxDnSG0fLD,"british invasion, rock-and-roll",20 Golden Greats,Parlophone UK,32.0,20,1pOphleD93KH6r6l8pRvgu,149106,2023-04-18T16:36:32Z,1977-02-04,https://i.scdn.co/image/ab67616d0000b273c513093a95dcd38a683354ad,https://open.spotify.com/track/0Qq7uRuhp7yhPTbi3DlBeS,none,none,none,none,none,none,none,none,none,none,none,none
